,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,10,0,0,89,92,4,5,0,255,10,4,6,0,0,0,0,100,99,0
1,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1,0,0,89,92,1,5,0,255,1,0,6,0,0,0,0,100,99,0
2,2,1,19,9,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,74,0,0,134,86,61,4,61,2,0,0,0,0,1
3,0,0,13,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,74,0,83,3,57,100,0,100,28,0,0,0,0,1
4,1,1,55,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,12,89,45,74,0,64,29,86,31,17,3,2,0,0,83,71,0
5,0,1,22,9,241,3196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,74,0,0,155,255,100,0,1,3,1,0,0,0,1
6,0,1,49,9,556,324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,74,0,83,255,28,11,72,0,0,0,0,72,4,1
7,0,1,55,9,106,138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,74,0,0,255,255,100,0,0,0,1,1,2,2,1
8,0,1,22,9,301,398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,47,0,0,0,0,74,0,4,151,255,100,0,1,3,0,0,0,0,1
9,0,1,18,9,24,124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,74,0,0,52,26,50,8,2,0,0,0,0,0,1
10,0,1,55,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,74,0,0,255,128,50,1,0,0,0,0,66,32,0
11,0,1,49,9,419,270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,74,0,83,255,129,51,3,0,0,0,0,33,0,1
12,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2,0,0,89,92,2,6,0,255,2,1,7,0,0,0,0,100,99,0
13,0,1,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,87,81,0,0,74,0,0,235,171,73,7,0,0,69,95,2,0,0
14,34,1,55,9,469,3640,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,74,0,0,38,73,16,5,3,4,0,77,0,7,1
15,0,1,22,9,324,1991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,74,0,0,71,255,100,0,1,4,0,0,0,0,1
16,0,1,22,9,187,556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,74,0,0,255,255,100,0,0,0,0,0,0,0,1
17,0,1,22,9,220,1462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,74,0,0,35,255,100,0,3,5,0,0,0,0,1
